Number	Accession	A's	T's	G's	C's	N's	Length	GC%
7233	CY063546	270	209	202	169	12	862	43.04
7234	CY063546	270	209	202	169	12	862	43.04
7235	CY063547	712	502	533	428	31	2206	43.56
7236	CY063548	821	517	520	445	32	2335	41.33
7237	CY063549	773	499	590	431	32	2325	43.91
7238	CY063550	614	417	384	319	24	1758	39.99
7239	CY063551	287	236	256	208	14	1001	46.35
7240	CY063551	287	236	256	208	14	1001	46.35
7241	CY063552	453	371	331	265	20	1440	41.39
7242	CY063553	502	317	403	301	21	1544	45.60
7243	CY063554	272	208	201	169	12	862	42.92
7244	CY063554	272	208	201	169	12	862	42.92
7245	CY063555	712	504	533	426	31	2206	43.47
7246	CY063556	821	519	520	443	32	2335	41.24
7247	CY063557	771	500	591	431	32	2325	43.96
7248	CY063558	617	414	384	319	24	1758	39.99
7249	CY063559	289	236	254	208	14	1001	46.15
7250	CY063559	289	236	254	208	14	1001	46.15
7251	CY063560	453	372	331	264	20	1440	41.32
7252	CY063561	504	317	401	301	21	1544	45.47
7253	CY063562	270	209	202	169	12	862	43.04
7254	CY063562	270	209	202	169	12	862	43.04
7255	CY063563	712	502	533	428	31	2206	43.56
7256	CY063564	821	517	520	445	32	2335	41.33
7257	CY063565	773	499	590	431	32	2325	43.91
7258	CY063566	618	414	383	319	24	1758	39.93
7259	CY063567	289	236	254	208	14	1001	46.15
7260	CY063567	289	236	254	208	14	1001	46.15
7261	CY063568	453	372	331	264	20	1440	41.32
7262	CY063569	503	317	402	301	21	1544	45.53
7263	CY063570	270	208	202	170	12	862	43.16
7264	CY063570	270	208	202	170	12	862	43.16
7265	CY063571	712	502	533	428	31	2206	43.56
7266	CY063572	821	519	520	443	32	2335	41.24
7267	CY063573	772	499	590	432	32	2325	43.96
7268	CY063574	620	414	382	318	24	1758	39.82
7269	CY063575	289	236	254	208	14	1001	46.15
7270	CY063575	289	236	254	208	14	1001	46.15
7271	CY063576	453	372	331	264	20	1440	41.32
7272	CY063577	505	320	399	299	21	1544	45.21
7273	CY063578	270	208	202	170	12	862	43.16
7274	CY063578	270	208	202	170	12	862	43.16
7275	CY063579	710	503	535	427	31	2206	43.61
7276	CY063580	820	519	521	443	32	2335	41.28
7277	CY063581	774	500	588	431	32	2325	43.83
7278	CY044500	586	418	376	346	24	1750	41.26
7279	CY044501	277	239	264	206	14	1000	47.00
7280	CY044501	277	239	264	206	14	1000	47.00
7281	CY044502	445	371	340	276	20	1452	42.42
7282	CY044503	506	326	398	289	21	1540	44.61
7283	CY044504	293	207	193	160	12	865	40.81
7284	CY044504	293	207	193	160	12	865	40.81
7285	CY044505	732	525	516	411	31	2215	41.85
7286	CY044506	822	509	522	449	32	2334	41.60
7287	CY044506	822	509	522	449	32	2334	41.60
7288	CY044507	800	525	565	415	32	2337	41.93
7289	CY044437	575	413	371	342	24	1725	41.33
7290	CY044438	273	239	263	207	14	996	47.19
7291	CY044438	273	239	263	207	14	996	47.19
7292	CY044439	435	366	331	269	20	1421	42.22
7293	CY044440	492	323	397	285	21	1518	44.93
7294	CY044441	283	204	192	159	11	849	41.34
7295	CY044441	283	204	192	159	11	849	41.34
7296	CY044442	726	515	510	400	30	2181	41.72
7297	CY044443	805	500	525	444	32	2306	42.02
7298	CY044443	805	500	525	444	32	2306	42.02
7299	CY044444	787	516	564	413	32	2312	42.26
7300	CY044508	590	419	377	343	24	1753	41.07
7301	CY044509	282	239	261	206	14	1002	46.61
7302	CY044509	282	239	261	206	14	1002	46.61
7303	CY044510	446	372	339	275	20	1452	42.29
7304	CY044511	495	324	395	287	21	1522	44.81
7305	CY044512	293	207	193	160	12	865	40.81
7306	CY044512	293	207	193	160	12	865	40.81
7307	CY044513	732	521	517	413	31	2214	42.01
7308	CY044514	820	511	524	447	32	2334	41.60
7309	CY044514	820	511	524	447	32	2334	41.60
7310	CY044515	802	529	565	414	32	2342	41.80
7311	CY044516	576	409	376	340	24	1725	41.51
7312	CY044517	280	239	260	206	14	999	46.65
7313	CY044517	280	239	260	206	14	999	46.65
7314	CY044518	434	365	337	271	20	1427	42.61
7315	CY044519	493	323	395	286	21	1518	44.86
7316	CY044520	287	206	192	159	12	856	41.00
7317	CY044520	287	206	192	159	12	856	41.00
7318	CY044521	726	511	513	407	30	2187	42.07
7319	CY044522	811	503	523	443	32	2312	41.78
7320	CY044522	811	503	523	443	32	2312	41.78
7321	CY044523	789	516	563	415	32	2315	42.25
7322	CY044524	573	416	376	342	24	1731	41.48
7323	CY044525	273	240	263	206	14	996	47.09
7324	CY044525	273	240	263	206	14	996	47.09
7325	CY044526	435	368	333	271	20	1427	42.33
7326	CY044527	494	325	398	283	21	1521	44.77
7327	CY044528	286	206	193	159	12	856	41.12
7328	CY044528	286	206	193	159	12	856	41.12
7329	CY044529	727	518	511	401	30	2187	41.70
7330	CY044530	807	500	525	445	32	2309	42.01
7331	CY044530	807	500	525	445	32	2309	42.01
7332	CY044531	789	517	564	413	32	2315	42.20
7333	CY044373	595	423	393	317	24	1752	40.53
7334	CY044374	298	241	254	207	14	1014	45.46
7335	CY044374	298	241	254	207	14	1014	45.46
7336	CY044375	463	373	331	255	20	1442	40.64
7337	CY044376	490	323	401	304	21	1539	45.81
7338	CY044377	267	211	209	160	12	859	42.96
7339	CY044377	267	211	209	160	12	859	42.96
7340	CY044378	738	540	518	400	31	2227	41.22
7341	CY044379	807	549	508	437	32	2333	40.51
7342	CY044379	807	549	508	437	32	2333	40.51
7343	CY044380	797	534	556	409	32	2328	41.45
7344	CY044532	593	424	391	315	24	1747	40.41
7345	CY044533	295	239	252	207	14	1007	45.58
7346	CY044533	295	239	252	207	14	1007	45.58
7347	CY044534	462	373	331	255	20	1441	40.67
7348	CY044535	487	321	398	303	21	1530	45.82
7349	CY044536	269	213	209	160	12	863	42.76
7350	CY044536	269	213	209	160	12	863	42.76
7351	CY044537	744	540	519	403	31	2237	41.22
7352	CY044538	806	550	507	437	32	2332	40.48
7353	CY044538	806	550	507	437	32	2332	40.48
7354	CY044539	801	533	557	409	32	2332	41.42
7355	CY044540	576	418	377	344	24	1739	41.46
7356	CY044541	278	239	260	205	14	996	46.69
7357	CY044541	278	239	260	205	14	996	46.69
7358	CY044542	448	374	336	274	20	1452	42.01
7359	CY044543	501	329	402	287	21	1540	44.74
7360	CY044544	288	207	193	159	12	859	40.98
7361	CY044544	288	207	193	159	12	859	40.98
7362	CY044545	737	530	517	409	31	2224	41.64
7363	CY044546	813	511	527	448	32	2331	41.83
7364	CY044546	813	511	527	448	32	2331	41.83
7365	CY044547	792	522	567	412	32	2325	42.11
7366	CY044445	576	418	377	343	24	1738	41.43
7367	CY044446	277	240	261	206	14	998	46.79
7368	CY044446	277	240	261	206	14	998	46.79
7369	CY044447	448	375	336	273	20	1452	41.94
7370	CY044448	495	325	399	285	21	1525	44.85
7371	CY044449	292	207	192	159	12	862	40.72
7372	CY044449	292	207	192	159	12	862	40.72
7373	CY044450	738	531	516	408	31	2224	41.55
7374	CY044451	815	509	529	449	32	2334	41.90
7375	CY044451	815	509	529	449	32	2334	41.90
7376	CY044452	789	522	564	412	32	2319	42.09
7377	CY044548	578	418	375	344	24	1739	41.35
7378	CY044549	278	240	261	206	14	999	46.75
7379	CY044549	278	240	261	206	14	999	46.75
7380	CY044550	448	375	336	273	20	1452	41.94
7381	CY044551	498	324	399	284	21	1526	44.76
7382	CY044552	293	207	193	160	12	865	40.81
7383	CY044552	293	207	193	160	12	865	40.81
7384	CY044553	739	530	516	408	31	2224	41.55
7385	CY044554	816	510	530	449	32	2337	41.89
7386	CY044554	816	510	530	449	32	2337	41.89
7387	CY044555	790	518	562	412	32	2314	42.09
7388	CY044556	585	418	387	317	24	1731	40.67
7389	CY044557	293	237	250	205	14	999	45.55
7390	CY044557	293	237	250	205	14	999	45.55
7391	CY044558	464	374	329	254	20	1441	40.46
7392	CY044559	484	321	396	299	21	1521	45.69
7393	CY044560	266	213	206	159	12	856	42.64
7394	CY044560	266	213	206	159	12	856	42.64
7395	CY044561	728	525	513	389	30	2185	41.28
7396	CY044562	799	544	505	432	32	2312	40.53
7397	CY044562	799	544	505	432	32	2312	40.53
7398	CY044563	792	534	558	402	32	2318	41.42
7399	CY044564	584	421	389	314	24	1732	40.59
7400	CY044565	291	237	250	207	14	999	45.75
7401	CY044565	291	237	250	207	14	999	45.75
7402	CY044566	464	373	331	254	20	1442	40.57
7403	CY044567	483	319	397	301	21	1521	45.89
7404	CY044568	260	210	208	160	11	849	43.35
7405	CY044568	260	210	208	160	11	849	43.35
7406	CY044569	725	524	515	394	30	2188	41.54
7407	CY044570	800	544	503	433	32	2312	40.48
7408	CY044570	800	544	503	433	32	2312	40.48
7409	CY044571	798	533	557	407	33	2328	41.41
7410	CY044572	581	414	378	342	24	1739	41.40
7411	CY044573	278	239	261	206	14	998	46.79
7412	CY044573	278	239	261	206	14	998	46.79
7413	CY044574	446	372	340	274	20	1452	42.29
7414	CY044575	505	328	400	292	21	1546	44.76
7415	CY044576	289	207	192	159	12	859	40.86
7416	CY044576	289	207	192	159	12	859	40.86
7417	CY044577	734	523	517	415	31	2220	41.98
7418	CY044578	817	510	525	447	32	2331	41.70
7419	CY044578	817	510	525	447	32	2331	41.70
7420	CY044579	794	522	564	415	32	2327	42.07
7421	CY044580	573	414	375	342	24	1728	41.49
7422	CY044581	276	239	261	206	14	996	46.89
7423	CY044581	276	239	261	206	14	996	46.89
7424	CY044582	440	368	334	271	20	1433	42.22
7425	CY044583	495	326	398	284	21	1524	44.75
7426	CY044584	283	205	194	159	12	853	41.38
7427	CY044584	283	205	194	159	12	853	41.38
7428	CY044585	727	517	509	401	30	2184	41.67
7429	CY044586	807	502	526	445	32	2312	42.00
7430	CY044586	807	502	526	445	32	2312	42.00
7431	CY044587	789	518	563	413	32	2315	42.16
7432	CY044588	572	414	375	342	24	1727	41.52
7433	CY044589	275	240	261	206	14	996	46.89
7434	CY044589	275	240	261	206	14	996	46.89
7435	CY044590	438	369	335	271	20	1433	42.29
7436	CY044591	491	324	398	285	21	1519	44.96
7437	CY044592	283	204	192	159	11	849	41.34
7438	CY044592	283	204	192	159	11	849	41.34
7439	CY044593	729	518	508	399	30	2184	41.53
7440	CY044594	807	503	526	445	32	2313	41.98
7441	CY044594	807	503	526	445	32	2313	41.98
7442	CY044595	789	518	561	412	32	2312	42.08
7443	CY044453	576	418	377	343	24	1738	41.43
7444	CY044454	279	240	261	206	14	1000	46.70
7445	CY044454	279	240	261	206	14	1000	46.70
7446	CY044455	448	375	336	273	20	1452	41.94
7447	CY044456	498	324	399	284	21	1526	44.76
7448	CY044457	288	207	192	160	12	859	40.98
7449	CY044457	288	207	192	160	12	859	40.98
7450	CY044458	738	531	516	408	31	2224	41.55
7451	CY044459	815	509	529	449	32	2334	41.90
7452	CY044459	815	509	529	449	32	2334	41.90
7453	CY044460	788	519	563	411	32	2313	42.11
7454	CY044596	574	414	374	342	24	1728	41.44
7455	CY044597	275	240	261	206	14	996	46.89
7456	CY044597	275	240	261	206	14	996	46.89
7457	CY044598	440	371	333	272	20	1436	42.13
7458	CY044599	493	324	399	284	21	1521	44.90
7459	CY044600	286	206	193	159	12	856	41.12
7460	CY044600	286	206	193	159	12	856	41.12
7461	CY044601	727	518	511	401	30	2187	41.70
7462	CY044602	807	502	526	445	32	2312	42.00
7463	CY044602	807	502	526	445	32	2312	42.00
7464	CY044603	788	518	564	413	32	2315	42.20
7465	CY044604	585	420	378	343	24	1750	41.20
7466	CY044605	280	239	261	206	14	1000	46.70
7467	CY044605	280	239	261	206	14	1000	46.70
7468	CY044606	447	371	338	276	20	1452	42.29
7469	CY044607	508	328	399	292	21	1548	44.64
7470	CY044608	288	207	193	159	12	859	40.98
7471	CY044608	288	207	193	159	12	859	40.98
7472	CY044609	739	522	516	416	31	2224	41.91
7473	CY044610	819	513	525	446	32	2335	41.58
7474	CY044610	819	513	525	446	32	2335	41.58
7475	CY044611	800	528	563	414	32	2337	41.81
7476	CY044612	576	416	375	343	24	1734	41.41
7477	CY044613	275	240	261	206	14	996	46.89
7478	CY044613	275	240	261	206	14	996	46.89
7479	CY044614	438	369	335	271	20	1433	42.29
7480	CY044615	497	324	399	285	22	1527	44.79
7481	CY044616	287	206	192	159	12	856	41.00
7482	CY044616	287	206	192	159	12	856	41.00
7483	CY044617	730	523	513	403	30	2199	41.66
7484	CY044618	808	505	527	446	32	2318	41.98
7485	CY044618	808	505	527	446	32	2318	41.98
7486	CY044619	792	521	563	413	32	2321	42.05
7487	CY044620	573	413	375	345	24	1730	41.62
7488	CY044621	278	240	262	206	14	1000	46.80
7489	CY044621	278	240	262	206	14	1000	46.80
7490	CY044622	448	375	336	273	20	1452	41.94
7491	CY044623	495	325	399	285	21	1525	44.85
7492	CY044624	292	207	193	159	12	863	40.79
7493	CY044624	292	207	193	159	12	863	40.79
7494	CY044625	733	529	514	405	31	2212	41.55
7495	CY044626	816	509	528	449	32	2334	41.86
7496	CY044626	816	509	528	449	32	2334	41.86
7497	CY044627	794	527	565	415	32	2333	42.01
7498	CY044628	574	414	375	345	24	1732	41.57
7499	CY044629	276	240	261	206	14	997	46.84
7500	CY044629	276	240	261	206	14	997	46.84
7501	CY044630	446	375	336	273	20	1450	42.00
7502	CY044631	495	323	399	285	21	1523	44.91
7503	CY044632	291	206	193	159	12	861	40.88
7504	CY044632	291	206	193	159	12	861	40.88
7505	CY044633	740	531	515	408	31	2225	41.48
7506	CY044634	810	510	530	449	32	2331	42.00
7507	CY044634	810	510	530	449	32	2331	42.00
7508	CY044635	796	524	566	414	32	2332	42.02
7509	CY044636	571	415	377	341	24	1728	41.55
7510	CY044637	276	240	263	206	14	999	46.95
7511	CY044637	276	240	263	206	14	999	46.95
7512	CY044638	439	368	334	272	20	1433	42.29
7513	CY044639	502	327	398	285	21	1533	44.55
7514	CY044640	288	207	193	159	12	859	40.98
7515	CY044640	288	207	193	159	12	859	40.98
7516	CY044641	731	530	517	409	31	2218	41.75
7517	CY044642	809	503	526	445	32	2315	41.94
7518	CY044642	809	503	526	445	32	2315	41.94
7519	CY044643	788	518	566	414	32	2318	42.28
7520	CY044644	582	422	375	347	24	1750	41.26
7521	CY044645	278	240	262	205	14	999	46.75
7522	CY044645	278	240	262	205	14	999	46.75
7523	CY044646	448	376	335	273	20	1452	41.87
7524	CY044647	500	326	397	285	21	1529	44.60
7525	CY044648	289	207	193	159	12	860	40.93
7526	CY044648	289	207	193	159	12	860	40.93
7527	CY044649	738	530	517	409	31	2225	41.62
7528	CY044650	813	509	527	448	32	2329	41.86
7529	CY044650	813	509	527	448	32	2329	41.86
7530	CY044651	792	520	562	412	32	2318	42.02
7531	CY044652	581	415	378	341	24	1739	41.35
7532	CY044653	280	239	261	206	14	1000	46.70
7533	CY044653	280	239	261	206	14	1000	46.70
7534	CY044654	447	371	338	276	20	1452	42.29
7535	CY044655	504	324	396	287	21	1532	44.58
7536	CY044656	291	207	193	159	12	862	40.84
7537	CY044656	291	207	193	159	12	862	40.84
7538	CY044657	739	522	515	416	31	2223	41.88
7539	CY044658	821	511	524	446	32	2334	41.56
7540	CY044658	821	511	524	446	32	2334	41.56
7541	CY044659	798	526	563	414	32	2333	41.88
7542	CY044660	585	421	386	312	24	1728	40.39
7543	CY044661	289	236	250	207	14	996	45.88
7544	CY044661	289	236	250	207	14	996	45.88
7545	CY044662	463	373	331	255	20	1442	40.64
7546	CY044663	483	321	397	299	21	1521	45.76
7547	CY044664	261	209	207	161	11	849	43.35
7548	CY044664	261	209	207	161	11	849	43.35
7549	CY044665	734	532	518	398	31	2213	41.39
7550	CY044666	801	544	506	435	32	2318	40.60
7551	CY044666	801	544	506	435	32	2318	40.60
7552	CY044667	799	532	556	408	32	2327	41.43
7553	CY044461	583	413	377	344	24	1741	41.41
7554	CY044462	274	239	263	206	14	996	47.09
7555	CY044462	274	239	263	206	14	996	47.09
7556	CY044463	447	372	338	275	20	1452	42.22
7557	CY044464	493	323	395	286	21	1518	44.86
7558	CY044465	290	207	193	159	12	861	40.88
7559	CY044465	290	207	193	159	12	861	40.88
7560	CY044466	737	526	518	413	31	2225	41.84
7561	CY044467	814	506	523	448	32	2323	41.80
7562	CY044467	814	506	523	448	32	2323	41.80
7563	CY044468	795	519	562	414	32	2322	42.03
7564	CY044668	576	419	375	344	24	1738	41.37
7565	CY044669	276	240	264	206	14	1000	47.00
7566	CY044669	276	240	264	206	14	1000	47.00
7567	CY044670	448	374	336	274	20	1452	42.01
7568	CY044671	499	325	398	283	21	1526	44.63
7569	CY044672	293	207	193	160	12	865	40.81
7570	CY044672	293	207	193	160	12	865	40.81
7571	CY044673	738	530	516	409	31	2224	41.59
7572	CY044674	816	509	528	449	32	2334	41.86
7573	CY044674	816	509	528	449	32	2334	41.86
7574	CY044675	796	523	566	413	32	2330	42.02
7575	CY044676	584	424	376	345	24	1753	41.13
7576	CY044677	276	240	264	206	14	1000	47.00
7577	CY044677	276	240	264	206	14	1000	47.00
7578	CY044678	448	374	336	274	20	1452	42.01
7579	CY044679	507	330	401	289	21	1548	44.57
7580	CY044680	293	207	193	160	12	865	40.81
7581	CY044680	293	207	193	160	12	865	40.81
7582	CY044681	738	530	516	409	31	2224	41.59
7583	CY044682	817	509	528	449	32	2335	41.84
7584	CY044682	817	509	528	449	32	2335	41.84
7585	CY044683	797	524	567	413	32	2333	42.01
7586	CY044684	595	420	387	318	24	1744	40.42
7587	CY044685	299	242	254	205	14	1014	45.27
7588	CY044685	299	242	254	205	14	1014	45.27
7589	CY044686	458	371	331	252	20	1432	40.71
7590	CY044687	498	328	399	305	21	1551	45.39
7591	CY044688	270	213	209	160	12	864	42.71
7592	CY044688	270	213	209	160	12	864	42.71
7593	CY044689	736	536	520	396	31	2219	41.28
7594	CY044690	802	538	510	441	32	2323	40.94
7595	CY044690	802	538	510	441	32	2323	40.94
7596	CY044691	804	544	557	406	33	2344	41.08
7597	HM370563	12	15	17	12	0	56	51.79
7598	CY044692	577	412	376	339	24	1728	41.38
7599	CY044693	277	239	260	206	14	996	46.79
7600	CY044693	277	239	260	206	14	996	46.79
7601	CY044694	437	367	337	272	20	1433	42.50
7602	CY044695	493	323	398	286	21	1521	44.97
7603	CY044696	286	206	193	159	12	856	41.12
7604	CY044696	286	206	193	159	12	856	41.12
7605	CY044697	726	511	511	406	30	2184	41.99
7606	CY044698	810	500	521	443	32	2306	41.80
7607	CY044698	810	500	521	443	32	2306	41.80
7608	CY044699	790	519	562	412	32	2315	42.07
7609	CY044700	585	415	377	342	24	1743	41.25
7610	CY044701	278	239	260	206	14	997	46.74
7611	CY044701	278	239	260	206	14	997	46.74
7612	CY044702	449	372	336	275	20	1452	42.08
7613	CY044703	506	328	400	289	21	1544	44.62
7614	CY044704	286	206	193	159	12	856	41.12
7615	CY044704	286	206	193	159	12	856	41.12
7616	CY044705	736	523	517	415	31	2222	41.94
7617	CY044706	815	508	522	445	32	2322	41.65
7618	CY044706	815	508	522	445	32	2322	41.65
7619	CY044707	791	521	561	411	32	2316	41.97
7620	HM370564	12	15	17	12	0	56	51.79
7621	CY044708	577	415	374	344	24	1734	41.41
7622	CY044709	277	241	262	205	14	999	46.75
7623	CY044709	277	241	262	205	14	999	46.75
7624	CY044710	440	373	336	273	20	1442	42.23
7625	CY044711	498	324	398	286	21	1527	44.79
7626	CY044712	289	207	192	159	12	859	40.86
7627	CY044712	289	207	192	159	12	859	40.86
7628	CY044713	731	525	514	405	31	2206	41.66
7629	CY044714	806	500	527	445	32	2310	42.08
7630	CY044714	806	500	527	445	32	2310	42.08
7631	CY044715	790	518	564	414	32	2318	42.19
7632	CY044716	573	416	376	342	24	1731	41.48
7633	CY044717	277	240	262	206	14	999	46.85
7634	CY044717	277	240	262	206	14	999	46.85
7635	CY044718	440	370	335	274	20	1439	42.32
7636	CY044719	497	325	398	283	21	1524	44.69
7637	CY044720	289	206	193	159	12	859	40.98
7638	CY044720	289	206	193	159	12	859	40.98
7639	CY044721	730	525	514	404	31	2204	41.65
7640	CY044722	810	503	525	445	32	2315	41.90
7641	CY044722	810	503	525	445	32	2315	41.90
7642	CY044723	794	525	567	412	32	2330	42.02
7643	CY075492	615	413	385	321	24	1758	40.16
7644	CY075493	289	236	254	208	14	1001	46.15
7645	CY075493	289	236	254	208	14	1001	46.15
7646	CY075494	452	372	332	264	20	1440	41.39
7647	CY075495	503	317	402	301	21	1544	45.53
7648	CY075496	269	209	203	169	12	862	43.16
7649	CY075496	269	209	203	169	12	862	43.16
7650	CY075497	714	504	531	426	31	2206	43.38
7651	CY075498	820	520	520	443	32	2335	41.24
7652	CY075499	775	497	587	434	32	2325	43.91
7653	CY044724	576	416	375	343	24	1734	41.41
7654	CY044725	276	240	261	206	14	997	46.84
7655	CY044725	276	240	261	206	14	997	46.84
7656	CY044726	440	371	333	272	20	1436	42.13
7657	CY044727	496	324	399	284	21	1524	44.82
7658	CY044728	288	207	193	159	12	859	40.98
7659	CY044728	288	207	193	159	12	859	40.98
7660	CY044729	728	519	513	403	30	2193	41.77
7661	CY044730	807	502	526	445	32	2312	42.00
7662	CY044730	807	502	526	445	32	2312	42.00
7663	CY044731	789	517	562	412	32	2312	42.13
7664	CY075500	616	413	385	320	24	1758	40.10
7665	CY075501	289	236	254	208	14	1001	46.15
7666	CY075501	289	236	254	208	14	1001	46.15
7667	CY075502	451	373	331	265	20	1440	41.39
7668	CY075503	504	316	401	302	21	1544	45.53
7669	CY075504	270	209	203	168	12	862	43.04
7670	CY075504	270	209	203	168	12	862	43.04
7671	CY075505	715	503	530	427	31	2206	43.38
7672	CY075506	821	519	520	443	32	2335	41.24
7673	CY075507	772	498	590	433	32	2325	44.00
7674	CY075508	618	414	383	319	24	1758	39.93
7675	CY075509	289	236	254	208	14	1001	46.15
7676	CY075509	289	236	254	208	14	1001	46.15
7677	CY075510	455	372	329	264	20	1440	41.18
7678	CY075511	504	318	401	300	21	1544	45.40
7679	CY075512	270	210	202	168	12	862	42.92
7680	CY075512	270	210	202	168	12	862	42.92
7681	CY075513	713	504	531	427	31	2206	43.43
7682	CY075514	818	517	523	445	32	2335	41.46
7683	CY075515	775	497	587	434	32	2325	43.91
7684	CY044732	576	411	378	339	24	1728	41.49
7685	CY044733	277	239	260	206	14	996	46.79
7686	CY044733	277	239	260	206	14	996	46.79
7687	CY044734	439	368	335	274	20	1436	42.41
7688	CY044735	495	323	397	285	21	1521	44.84
7689	CY044736	285	206	194	159	12	856	41.24
7690	CY044736	285	206	194	159	12	856	41.24
7691	CY044737	724	512	515	406	30	2187	42.11
7692	CY044738	811	504	523	442	32	2312	41.74
7693	CY044738	811	504	523	442	32	2312	41.74
7694	CY044739	792	518	562	414	32	2318	42.11
7695	CY075516	618	414	383	319	24	1758	39.93
7696	CY075517	289	236	254	208	14	1001	46.15
7697	CY075517	289	236	254	208	14	1001	46.15
7698	CY075518	455	372	329	264	20	1440	41.18
7699	CY075519	504	318	401	300	21	1544	45.40
7700	CY075520	270	210	202	168	12	862	42.92
7701	CY075520	270	210	202	168	12	862	42.92
7702	CY075521	712	505	531	427	31	2206	43.43
7703	CY075522	818	517	523	445	32	2335	41.46
7704	CY075523	775	497	587	434	32	2325	43.91
7705	CY075524	618	416	381	319	24	1758	39.82
7706	CY075525	289	236	254	208	14	1001	46.15
7707	CY075525	289	236	254	208	14	1001	46.15
7708	CY075526	452	372	332	264	20	1440	41.39
7709	CY075527	503	318	402	300	21	1544	45.47
7710	CY075528	272	210	200	168	12	862	42.69
7711	CY075528	272	210	200	168	12	862	42.69
7712	CY075529	712	503	533	427	31	2206	43.52
7713	CY075530	820	520	521	442	32	2335	41.24
7714	CY075531	773	499	588	433	32	2325	43.91
7715	CY044740	580	413	377	343	24	1737	41.45
7716	CY044741	278	239	263	205	14	999	46.85
7717	CY044741	278	239	263	205	14	999	46.85
7718	CY044742	440	370	340	275	20	1445	42.56
7719	CY044743	496	324	396	287	21	1524	44.82
7720	CY044744	289	207	193	159	12	860	40.93
7721	CY044744	289	207	193	159	12	860	40.93
7722	CY044745	728	518	515	408	30	2199	41.97
7723	CY044746	816	505	519	446	32	2318	41.63
7724	CY044746	816	505	519	446	32	2318	41.63
7725	CY044747	793	519	561	413	32	2318	42.02
7726	CY075532	617	414	383	320	24	1758	39.99
7727	CY075533	288	236	255	208	14	1001	46.25
7728	CY075533	288	236	255	208	14	1001	46.25
7729	CY075534	453	373	331	263	20	1440	41.25
7730	CY075535	506	317	399	301	21	1544	45.34
7731	CY075536	270	209	202	169	12	862	43.04
7732	CY075536	270	209	202	169	12	862	43.04
7733	CY075537	712	503	533	427	31	2206	43.52
7734	CY075538	819	520	522	442	32	2335	41.28
7735	CY075539	773	499	589	432	32	2325	43.91
7736	CY075652	618	413	383	320	24	1758	39.99
7737	CY075653	289	238	252	208	14	1001	45.95
7738	CY075653	289	238	252	208	14	1001	45.95
7739	CY075654	453	372	331	264	20	1440	41.32
7740	CY075655	504	317	401	301	21	1544	45.47
7741	CY075656	271	209	201	169	12	862	42.92
7742	CY075656	271	209	201	169	12	862	42.92
7743	CY075657	714	504	531	426	31	2206	43.38
7744	CY075658	818	514	515	443	32	2322	41.26
7745	CY075659	773	499	589	432	32	2325	43.91
7746	CY044753	736	524	517	415	31	2223	41.93
7747	CY044754	814	505	522	442	32	2315	41.64
7748	CY044754	814	505	522	442	32	2315	41.64
7749	CY044755	803	529	565	414	33	2344	41.77
7750	CY044748	585	420	377	343	24	1749	41.17
7751	CY044749	280	239	260	206	14	999	46.65
7752	CY044749	280	239	260	206	14	999	46.65
7753	CY044750	438	368	337	273	20	1436	42.48
7754	CY044751	503	325	396	288	21	1533	44.62
7755	CY044752	291	207	193	159	12	862	40.84
7756	CY044752	291	207	193	159	12	862	40.84
7757	CY075660	617	414	383	320	24	1758	39.99
7758	CY075661	288	236	255	208	14	1001	46.25
7759	CY075661	288	236	255	208	14	1001	46.25
7760	CY075662	453	373	331	263	20	1440	41.25
7761	CY075663	506	317	399	301	21	1544	45.34
7762	CY075664	270	209	202	169	12	862	43.04
7763	CY075664	270	209	202	169	12	862	43.04
7764	CY075665	712	503	533	427	31	2206	43.52
7765	CY075666	816	515	517	442	32	2322	41.30
7766	CY075667	773	499	589	432	32	2325	43.91
7767	CY044756	587	418	378	345	24	1752	41.27
7768	CY044757	280	240	261	205	14	1000	46.60
7769	CY044757	280	240	261	205	14	1000	46.60
7770	CY044758	439	368	338	275	20	1440	42.57
7771	CY044759	506	328	400	291	21	1546	44.70
7772	CY044760	293	207	192	160	12	864	40.74
7773	CY044760	293	207	192	160	12	864	40.74
7774	CY044761	732	522	517	412	31	2214	41.96
7775	CY044762	813	505	523	442	32	2315	41.68
7776	CY044762	813	505	523	442	32	2315	41.68
7777	CY044763	795	523	564	413	32	2327	41.99
7778	CY075540	618	413	383	320	24	1758	39.99
7779	CY075541	289	237	253	208	14	1001	46.05
7780	CY075541	289	237	253	208	14	1001	46.05
7781	CY075542	453	372	331	264	20	1440	41.32
7782	CY075543	504	317	401	301	21	1544	45.47
7783	CY075544	270	209	202	169	12	862	43.04
7784	CY075544	270	209	202	169	12	862	43.04
7785	CY075545	714	504	531	426	31	2206	43.38
7786	CY075546	820	519	521	443	32	2335	41.28
7787	CY075547	773	499	589	432	32	2325	43.91
7788	CY044764	582	415	376	341	24	1738	41.25
7789	CY044765	277	240	263	206	14	1000	46.90
7790	CY044765	277	240	263	206	14	1000	46.90
7791	CY044766	446	369	335	274	20	1444	42.17
7792	CY044767	508	327	401	294	21	1551	44.81
7793	CY044768	293	207	193	160	12	865	40.81
7794	CY044768	293	207	193	160	12	865	40.81
7795	CY044769	729	515	512	406	30	2192	41.88
7796	CY044770	815	507	521	451	32	2326	41.79
7797	CY044770	815	507	521	451	32	2326	41.79
